Date,Portfolio Value
2018-07-10,63123.14971923828
2018-07-11,62731.49444580078
2018-07-12,63308.884506225586
2018-07-13,63327.56393432617
2018-07-16,63241.01005554199
2018-07-17,63410.069885253906
2018-07-18,63459.59884643555
2018-07-19,63258.71994018555
2018-07-20,63227.10136413574
2018-07-23,63283.04428100586
2018-07-24,63502.95616149902
2018-07-25,64037.651290893555
2018-07-26,63703.14888000488
2018-07-27,63256.48849487305
2018-07-30,62842.41455078125
2018-07-31,63154.37675476074
2018-08-01,63103.58352661133
2018-08-02,63463.48243713379
2018-08-03,63687.54653930664
2018-08-06,63889.8518371582
2018-08-07,64061.10855102539
2018-08-08,64070.177307128906
2018-08-09,64025.10948181152
2018-08-10,63689.88540649414
2018-08-13,63450.749740600586
2018-08-14,63773.100814819336
2018-08-15,63238.9436340332
2018-08-16,63575.61622619629
2018-08-17,63770.20545959473
2018-08-20,63871.83090209961
2018-08-21,64037.74070739746
2018-08-22,64097.153549194336
2018-08-23,63967.17346191406
2018-08-24,64422.14538574219
2018-08-27,64861.61087036132
2018-08-28,64844.78675842285
2018-08-29,65228.902587890625
2018-08-30,65027.752990722656
2018-08-31,65047.04872131348
2018-09-04,64884.62333679199
2018-09-05,64615.54481506348
2018-09-06,64400.481185913086
2018-09-07,64231.31690979004
2018-09-10,64348.17039489746
2018-09-11,64565.7713317871
2018-09-12,64584.92782592773
2018-09-13,64928.50074768066
2018-09-14,64851.99882507324
2018-09-17,64467.18933105469
2018-09-18,64758.20129394531
2018-09-19,64787.137680053704
2018-09-20,65270.942611694336
2018-09-21,65124.24766540527
2018-09-24,65022.56072998047
2018-09-25,65014.50233459473
2018-09-26,64889.97604370117
2018-09-27,65064.38934326172
2018-09-28,65104.62242126465
2018-10-01,65218.22410583496
2018-10-02,65231.91230773926
2018-10-03,65216.63650512695
2018-10-04,64624.3497467041
2018-10-05,64236.35955810547
2018-10-08,64077.92335510254
2018-10-09,64081.30790710449
2018-10-10,62303.792572021484
2018-10-11,61519.52194213867
2018-10-12,62332.8044128418
2018-10-15,62020.49011230469
2018-10-16,63179.12521362305
2018-10-17,63171.82258605957
2018-10-18,62334.12254333496
2018-10-19,62279.71405029297
2018-10-22,62174.61166381836
2018-10-23,61979.54643249512
2018-10-24,60324.28047180176
2018-10-25,61365.42655944824
2018-10-26,60448.760681152344
2018-10-29,59967.15850830078
2018-10-30,60652.37075805663
2018-10-31,61270.23994445801
2018-11-01,61910.22720336914
2018-11-02,61489.69581604004
2018-11-05,61637.212829589844
2018-11-06,61935.00877380371
2018-11-07,63101.87683105469
2018-11-08,62923.90296936035
2018-11-09,62292.04284667969
2018-11-12,61187.518005371094
2018-11-13,61135.01365661621
2018-11-14,60844.12040710449
2018-11-15,61447.13798522949
2018-11-16,61548.11210632324
2018-11-19,60530.32501220703
2018-11-20,59665.996322631836
2018-11-21,59908.09120178223
2018-11-23,59598.5408782959
2018-11-26,60412.345962524414
2018-11-27,60518.17138671875
2018-11-28,61749.41841125488
2018-11-29,61657.15476989746
2018-11-30,61972.171630859375
2018-12-03,62709.29374694824
2018-12-04,61081.573638916016
2018-12-06,61135.0895690918
2018-12-07,59960.16716003418
2018-12-10,60132.54280090332
2018-12-11,60170.56266784668
2018-12-12,60464.864501953125
2018-12-13,60427.06474304199
2018-12-14,59481.34262084961
2018-12-17,58576.86752319336
2018-12-18,58649.69139099121
2018-12-19,57831.32751464844
2018-12-20,57211.50588989258
2018-12-21,56161.463775634766
2018-12-24,55133.87336730957
2018-12-26,57305.9944152832
2018-12-27,57672.81776428223
2018-12-28,57668.00827026367
2018-12-31,58085.8585357666
2019-01-02,58183.91944885254
2019-01-03,57110.329818725586
2019-01-04,58591.00868225098
2019-01-07,59025.014877319336
2019-01-08,59429.61463928222
2019-01-09,59735.68214416504
2019-01-10,59853.06182861328
2019-01-11,59845.257415771484
2019-01-14,59535.69511413574
2019-01-15,60143.33595275879
2019-01-16,60250.335693359375
2019-01-17,60595.35514831543
2019-01-18,61112.56027221679
2019-01-22,60422.37777709961
2019-01-23,60498.075942993164
2019-01-24,60620.16860961914
2019-01-25,61150.51452636719
2019-01-28,60758.01078796387
2019-01-29,60643.69903564453
2019-01-30,61537.82875061035
2019-01-31,62073.3479309082
2019-02-01,62012.88375854492
2019-02-04,62387.54096984863
2019-02-05,62683.13400268555
2019-02-06,62555.81039428711
2019-02-07,62062.21374511719
2019-02-08,62163.27072143555
2019-02-11,62154.37759399414
2019-02-12,62807.76039123535
2019-02-13,62895.819396972656
2019-02-14,62885.218658447266
2019-02-15,63372.147521972656
2019-02-19,63565.321350097656
2019-02-20,63623.338623046875
2019-02-21,63360.33737182617
2019-02-22,63726.62521362305
2019-02-25,63816.22352600098
2019-02-26,63811.502990722656
2019-02-27,63736.434020996094
2019-02-28,63591.56455993652
2019-03-01,63786.72477722168
2019-03-04,63641.46423339844
2019-03-05,63609.51919555664
2019-03-06,63299.29649353027
2019-03-07,62857.0955657959
2019-03-08,62840.89988708496
2019-03-11,63601.34468078613
2019-03-12,63862.56767272949
2019-03-13,64241.96044921875
2019-03-14,64115.02655029297
2019-03-15,64460.92208862305
2019-03-18,64627.065505981445
2019-03-19,64690.00068664551
2019-03-20,64693.57765197754
2019-03-21,65307.903060913086
2019-03-22,64319.81414794922
2019-03-25,64324.16931152344
2019-03-26,64634.39727783203
2019-03-27,64342.99842834473
2019-03-28,64436.88270568848
2019-03-29,64775.69129943847
2019-04-01,65339.52682495117
2019-04-02,65430.46073913574
2019-04-03,65559.8696899414
2019-04-04,65671.10610961914
2019-04-05,65927.81135559082
2019-04-08,66012.78099060059
2019-04-09,65801.78565979004
2019-04-10,66050.22705078125
2019-04-11,65915.97473144531
2019-04-12,66211.83959960938
2019-04-15,66177.81394958496
2019-04-16,66179.0096282959
2019-04-17,66109.01809692383
2019-04-18,66211.5486907959
2019-04-22,66270.04219055176
2019-04-23,66808.89823913574
2019-04-24,66726.29440307617
2019-04-25,66751.90208435059
2019-04-26,67010.01625061035
