Date,Historical Loss
2020-06-22,-1377.9717765972441
2020-06-23,-1024.930591352872
2020-06-24,3755.6335409593125
2020-06-25,-1613.9549761344856
2020-06-26,3434.8937970591996
2020-06-29,-2054.391269632829
2020-06-30,-2432.8359782522753
2020-07-01,-1155.021142966158
2020-07-02,-926.460996683833
2020-07-06,-2907.1634647012515
2020-07-07,1233.5548916947102
2020-07-08,-1562.0639621901291
2020-07-09,187.915289272708
2020-07-10,-1322.4701461691939
2020-07-13,1939.6868861102228
2020-07-14,-1808.2218266299426
2020-07-15,-1172.523614413638
2020-07-16,889.9095882155558
2020-07-17,-576.4436956730349
2020-07-20,-2316.578665887861
2020-07-21,10.735825524066255
2020-07-22,-1087.5683036278608
2020-07-23,2268.331885984894
2020-07-24,986.6838446875861
2020-07-27,-2056.4506412406563
2020-07-28,1105.0024550950347
2020-07-29,-2046.4354489397767
2020-07-30,227.0709720877409
2020-07-31,-1806.1821409701267
2020-08-03,-1441.6366754033568
2020-08-04,-1086.3291785069016
2020-08-05,-968.9419205584666
2020-08-06,-1595.6121318708965
2020-08-07,860.0506563614458
2020-08-10,4.025075368830226
2020-08-11,3004.810218437261
2020-08-12,-2488.664408645991
2020-08-13,-377.0742754519135
2020-08-14,178.46295621248473
2020-08-17,-1411.4260873386909
2020-08-18,-891.7569730506767
2020-08-19,1462.3390020875747
2020-08-20,-1173.8424803027606
2020-08-21,-551.2864700411237
2020-08-24,-1200.8221781302707
2020-08-25,-734.4594494050233
2020-08-26,-2302.1674816253944
2020-08-27,230.9601683974329
2020-08-28,-1310.3269499643636
2020-08-31,-176.532939553458
2020-09-01,-1897.666749445995
2020-09-02,-1718.4421957078819
2020-09-03,6328.058455049625
2020-09-04,1585.321410101273
2020-09-08,5256.676313113469
2020-09-09,-3660.8999726422853
2020-09-10,2813.3950689931826
2020-09-11,270.87429110789
2020-09-14,-2458.134084071354
2020-09-15,-1198.1929709243143
2020-09-16,1119.0176855374307
2020-09-17,1772.4332540659673
2020-09-18,1751.9919589271367
2020-09-21,1488.9060144154819
2020-09-22,-1854.0313670495404
2020-09-23,4425.595749944131
2020-09-24,-564.7389062814582
2020-09-25,-2741.2965011513197
2020-09-28,-3017.893883377401
2020-09-29,607.179114618651
2020-09-30,-964.7524372015475
2020-10-01,-1716.643888488678
2020-10-02,2361.835294777894
2020-10-05,-2921.768495095506
2020-10-06,2512.9893138445136
2020-10-07,-2626.6096622345704
2020-10-08,-1292.2819461478382
2020-10-09,-2039.9060206553777
2020-10-12,-3138.160095331508
2020-10-13,940.3001264203745
2020-10-14,1016.9709453662992
2020-10-15,353.11622311308685
2020-10-16,460.8873922414412
2020-10-19,2381.5894716848206
2020-10-20,-570.420052032878
2020-10-21,156.58609334538372
2020-10-22,-388.8156863818238
2020-10-23,-452.8881653981625
2020-10-26,2647.2939322610973
2020-10-27,-108.50591936883298
2020-10-28,5809.457698968589
2020-10-29,-1758.6185228555316
2020-10-30,2286.7643474363877
2020-11-02,-1474.8002577532932
2020-11-03,-2842.5029417127357
2020-11-04,-4622.570300705132
2020-11-05,-3851.323349596278
2020-11-06,11.126074685504717
2020-11-09,724.0782983883324
2020-11-10,1019.3636823156813
2020-11-11,-1831.042906857121
2020-11-12,1084.3843796871067
2020-11-13,-2045.357423736066
2020-11-16,-1708.3549563964937
2020-11-17,661.5438404895783
2020-11-18,1682.007793618351
2020-11-19,-880.9616804808604
2020-11-20,935.2006222312998
2020-11-23,-312.8567818203651
2020-11-24,-2074.503633123735
2020-11-25,-161.4843010753053
2020-11-27,-634.9940449155578
2020-11-30,581.1198980360795
2020-12-01,-2189.0403539376102
2020-12-02,-350.96016327336054
2020-12-03,-300.4906933075292
2020-12-04,-1065.6452585288457
2020-12-07,-397.2065859502985
2020-12-08,-600.3597888838653
2020-12-09,2474.1062210074856
2020-12-10,-230.27153861978414
2020-12-11,192.01551740139647
2020-12-14,166.5670132546416
2020-12-15,-2246.6507126980064
2020-12-16,-520.9839791728691
2020-12-17,-1199.419902456098
2020-12-18,575.6420185780398
2020-12-21,508.0296385765574
2020-12-22,94.15807582332899
2020-12-23,31.36715194098678
2020-12-24,-666.806040043298
2020-12-28,-1270.7172381330397
2020-12-29,160.74802266956775
2020-12-30,-349.93643454136924
2020-12-31,-741.8537788769456
2021-01-04,1793.5594609517248
2021-01-05,-1208.5425509811607
2021-01-06,358.45349026519966
2021-01-07,-2751.360299633175
2021-01-08,-576.7020047490646
2021-01-11,1485.02236057769
2021-01-12,-168.19230706579256
2021-01-13,-545.5138168882055
2021-01-14,591.1820165046666
2021-01-15,1439.0282792566002
2021-01-19,-1799.3751080069549
2021-01-20,-2909.778385229243
2021-01-21,-413.95489306284514
2021-01-22,593.4592624143726
2021-01-25,-865.4080592506289
2021-01-26,207.14733567157654
2021-01-27,4145.721791260062
